cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,human1_lib1.final_cell_0001-0,0,acinar,acinar,single_batch
1,human1_lib1.final_cell_0002-0,0,acinar,acinar,single_batch
2,human1_lib1.final_cell_0003-0,0,acinar,acinar,single_batch
3,human1_lib1.final_cell_0004-0,0,acinar,acinar,single_batch
4,human1_lib1.final_cell_0005-0,0,acinar,acinar,single_batch
5,human1_lib1.final_cell_0006-0,0,acinar,acinar,single_batch
6,human1_lib1.final_cell_0007-0,7,beta,beta,single_batch
7,human1_lib1.final_cell_0008-0,0,acinar,acinar,single_batch
8,human1_lib1.final_cell_0009-0,0,acinar,acinar,single_batch
9,human1_lib1.final_cell_0010-0,0,acinar,acinar,single_batch
10,human1_lib1.final_cell_0011-0,0,acinar,acinar,single_batch
11,human1_lib1.final_cell_0012-0,0,acinar,acinar,single_batch
12,human1_lib1.final_cell_0013-0,8,delta,delta,single_batch
13,human1_lib1.final_cell_0014-0,8,delta,delta,single_batch
14,human1_lib1.final_cell_0015-0,7,beta,beta,single_batch
15,human1_lib1.final_cell_0016-0,3,activated_stellate,activated_stellate,single_batch
16,human1_lib1.final_cell_0017-0,7,beta,beta,single_batch
17,human1_lib1.final_cell_0018-0,0,acinar,acinar,single_batch
18,human1_lib1.final_cell_0019-0,4,ductal,ductal,single_batch
19,human1_lib1.final_cell_0020-0,7,beta,beta,single_batch
20,human1_lib1.final_cell_0021-0,7,beta,beta,single_batch
21,human1_lib1.final_cell_0022-0,9,alpha,alpha,single_batch
22,human1_lib1.final_cell_0023-0,4,ductal,ductal,single_batch
23,human1_lib1.final_cell_0024-0,7,beta,beta,single_batch
24,human1_lib1.final_cell_0025-0,8,delta,delta,single_batch
25,human1_lib1.final_cell_0026-0,9,alpha,alpha,single_batch
26,human1_lib1.final_cell_0027-0,7,beta,beta,single_batch
27,human1_lib1.final_cell_0028-0,0,acinar,acinar,single_batch
28,human1_lib1.final_cell_0029-0,0,acinar,acinar,single_batch
29,human1_lib1.final_cell_0030-0,7,beta,beta,single_batch
